City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Punta Arenas,20,CL,2019-02-05,53,-53.16,-70.91,51.8,18.34
Yerbogachen,44,RU,2019-02-05,56,61.28,108.01,-19.72,2.8
Saskylakh,68,RU,2019-02-05,78,71.97,114.09,2.25,24.05
Ornskoldsvik,0,SE,2019-02-05,76,63.29,18.72,-5.81,2.24
Maceio,20,BR,2019-02-05,94,-9.67,-35.74,77.0,6.93
Airai,36,TL,2019-02-05,70,-8.93,125.41,80.46,2.24
Busselton,0,AU,2019-02-05,74,-33.64,115.35,77.53,15.66
Hobart,75,AU,2019-02-05,49,-42.88,147.33,69.8,11.41
Bluff,80,AU,2019-02-05,57,-23.58,149.07,84.15,22.15
Atuona,20,PF,2019-02-05,100,-9.8,-139.03,81.67,15.88
Brae,92,GB,2019-02-05,87,60.4,-1.35,44.6,26.4
Albany,1,US,2019-02-05,69,42.65,-73.75,37.94,11.41
Rikitea,76,PF,2019-02-05,100,-23.12,-134.97,81.22,6.38
Barrow,0,AR,2019-02-05,47,-38.31,-60.23,71.01,13.65
Otane,92,NZ,2019-02-05,93,-39.89,176.62,56.65,8.28
Qaanaaq,0,GL,2019-02-05,96,77.48,-69.36,-16.88,6.15
Padang,40,ID,2019-02-05,88,-0.92,100.36,78.8,3.36
Hamilton,40,CA,2019-02-05,85,43.26,-79.87,28.4,3.36
Aksu,90,KZ,2019-02-05,75,52.04,76.93,-16.61,20.13
Yellowknife,20,CA,2019-02-05,74,62.45,-114.38,-25.61,6.93
Upernavik,12,GL,2019-02-05,100,72.79,-56.15,1.93,13.2
Saint-Augustin,90,FR,2019-02-05,100,44.83,-0.61,51.8,5.82
Arraial do Cabo,92,BR,2019-02-05,87,-22.97,-42.02,76.14,3.13
Butaritari,24,KI,2019-02-05,100,3.07,172.79,82.93,18.45
Luanda,40,AO,2019-02-05,83,-8.83,13.24,80.6,2.24
Cherskiy,12,RU,2019-02-05,45,68.75,161.3,-28.22,2.91
Hasaki,75,JP,2019-02-05,93,35.73,140.83,44.6,12.75
Aklavik,90,CA,2019-02-05,77,68.22,-135.01,-2.21,3.36
Castro,75,CL,2019-02-05,87,-42.48,-73.76,60.8,4.7
New Norfolk,75,AU,2019-02-05,49,-42.78,147.06,69.8,11.41
Chokurdakh,56,RU,2019-02-05,39,70.62,147.9,-25.7,16.78
Mataura,0,NZ,2019-02-05,54,-46.19,168.86,58.86,8.05
Edgewater,1,US,2019-02-05,93,28.99,-80.9,62.96,8.05
Comodoro Rivadavia,0,AR,2019-02-05,19,-45.87,-67.48,86.0,25.28
Saint George,90,GR,2019-02-05,58,39.45,22.34,55.4,24.16
Karratha,0,AU,2019-02-05,47,-20.74,116.85,92.79,6.04
Jamestown,100,AU,2019-02-05,100,-33.21,138.6,68.49,3.36
Ulaangom,0,MN,2019-02-05,37,49.98,92.07,-28.63,1.12
Dwarka,40,IN,2019-02-05,93,28.58,77.04,59.0,3.36
At-Bashi,76,KG,2019-02-05,73,41.17,75.81,15.21,10.29
Ushuaia,75,AR,2019-02-05,71,-54.81,-68.31,55.4,33.33
Havre-Saint-Pierre,90,CA,2019-02-05,78,50.23,-63.6,15.8,10.29
Hermanus,24,ZA,2019-02-05,96,-34.42,19.24,50.98,3.91
Luderitz,0,NA,2019-02-05,68,-26.65,15.16,62.95,12.64
Letka,0,BA,2019-02-05,74,43.74,17.27,35.6,5.82
Tuktoyaktuk,90,CA,2019-02-05,77,69.44,-133.03,5.0,12.75
Vaini,0,IN,2019-02-05,63,15.34,74.49,73.66,3.36
Bethel,90,US,2019-02-05,100,60.79,-161.76,35.06,20.8
Vladyslavivka,64,UA,2019-02-05,94,50.53,25.74,29.34,6.38
Wajima,0,JP,2019-02-05,83,37.4,136.9,44.6,1.12
Provideniya,90,RU,2019-02-05,96,64.42,-173.23,32.0,11.18
Faanui,0,PF,2019-02-05,100,-16.48,-151.75,83.61,14.99
Weatherford,1,US,2019-02-05,68,32.76,-97.8,73.04,11.41
Lampazos de Naranjo,56,MX,2019-02-05,85,27.02,-100.51,65.25,3.36
Saint-Philippe,40,CA,2019-02-05,69,45.36,-73.48,21.38,6.93
Cookeville,1,US,2019-02-05,72,36.16,-85.5,62.6,4.7
Tasiilaq,80,GL,2019-02-05,35,65.61,-37.64,24.8,16.11
Vanavara,32,RU,2019-02-05,40,60.35,102.28,-26.33,3.13
Kapaa,90,US,2019-02-05,81,22.08,-159.32,78.98,16.11
Pescia,0,IT,2019-02-05,100,43.9,10.69,50.0,3.36
Sibolga,32,ID,2019-02-05,94,1.74,98.78,75.82,1.34
Xingyi,0,CN,2019-02-05,47,24.19,102.82,59.13,9.17
Chernyshevskiy,48,RU,2019-02-05,69,63.01,112.47,-10.13,5.37
Hovd,0,NO,2019-02-05,92,63.83,10.7,26.6,4.03
Golden,56,CA,2019-02-05,76,51.3,-116.96,-2.03,1.79
Amapa,20,HN,2019-02-05,74,15.09,-87.97,78.8,5.82
Sorong,12,ID,2019-02-05,100,-0.86,131.25,82.57,5.14
Svobodnyy,80,RU,2019-02-05,94,53.85,40.53,21.69,3.13
Hoa Binh,75,VN,2019-02-05,100,20.81,105.34,73.4,6.93
Mandalgovi,0,MN,2019-02-05,40,45.76,106.27,-15.53,13.42
Cape Town,0,ZA,2019-02-05,95,-33.93,18.42,64.35,18.45
Victoria,75,BN,2019-02-05,88,5.28,115.24,80.6,2.24
Tiksi,12,RU,2019-02-05,79,71.64,128.87,-1.13,15.66
Dikson,32,RU,2019-02-05,86,73.51,80.55,-5.36,20.92
Sao Filipe,92,CV,2019-02-05,100,14.9,-24.5,69.88,13.76
Kavaratti,32,IN,2019-02-05,100,10.57,72.64,82.44,10.74
Noci,40,IT,2019-02-05,81,40.79,17.12,48.2,12.75
Goderich,8,CA,2019-02-05,80,43.74,-81.71,15.21,10.74
Olinda,90,EC,2019-02-05,88,-2.03,-79.75,80.6,5.82
Alderwood Manor,75,US,2019-02-05,84,47.8,-122.26,33.08,5.59
Miyang,0,CN,2019-02-05,46,24.4,103.44,58.86,11.63
Tuatapere,0,NZ,2019-02-05,92,-46.13,167.69,55.3,8.28
Clyde River,75,CA,2019-02-05,70,70.47,-68.59,-5.81,23.04
Griffith,24,AU,2019-02-05,36,-34.29,146.06,91.4,11.41
Sydney,40,AU,2019-02-05,51,-33.85,151.22,84.2,14.99
Puerto Ayora,0,EC,2019-02-05,98,-0.74,-90.35,79.78,7.72
Hithadhoo,56,MV,2019-02-05,100,-0.6,73.08,81.63,7.94
Port Alfred,0,ZA,2019-02-05,98,-33.59,26.89,63.9,5.82
Yulara,20,AU,2019-02-05,21,-25.24,130.99,95.0,16.11
Wewak,48,PG,2019-02-05,64,-3.55,143.63,87.52,6.15
Ocos,20,GT,2019-02-05,83,14.51,-92.19,80.6,5.82
Lexington,40,US,2019-02-05,93,38.05,-84.5,60.98,4.7
Coquimbo,75,CL,2019-02-05,82,-29.95,-71.34,64.4,8.05
Pisco,75,PE,2019-02-05,78,-13.71,-76.2,77.0,12.75
Norman Wells,90,CA,2019-02-05,62,65.28,-126.83,-14.81,14.99
Guerrero Negro,92,MX,2019-02-05,89,27.97,-114.04,58.59,8.95
Sunbury,1,US,2019-02-05,73,40.86,-76.79,54.32,3.36
Camacha,40,PT,2019-02-05,82,33.08,-16.33,59.0,3.36
Bambous Virieux,20,MU,2019-02-05,94,-20.34,57.76,78.8,1.12
Uruzgan,56,AF,2019-02-05,76,32.93,66.63,11.16,2.13
Broome,92,GB,2019-02-05,100,52.47,1.45,46.4,13.87
Lompoc,40,US,2019-02-05,75,34.64,-120.46,50.0,4.7
Nanakuli,40,US,2019-02-05,63,21.39,-158.15,82.04,13.87
Khani,0,GE,2019-02-05,43,41.96,42.96,50.0,25.28
Makat,92,KZ,2019-02-05,92,47.65,53.35,24.03,10.4
Mattawa,5,CA,2019-02-05,91,46.32,-78.7,-0.41,10.29
Hilo,20,US,2019-02-05,66,19.71,-155.08,78.08,14.99
Kopervik,20,NO,2019-02-05,74,59.28,5.31,37.4,12.75
Pacific Grove,1,US,2019-02-05,96,36.62,-121.92,50.0,5.82
Tiznit,0,MA,2019-02-05,76,29.7,-9.73,50.35,2.35
Hastings,100,NZ,2019-02-05,100,-39.64,176.84,64.08,21.25
Isangel,36,VU,2019-02-05,100,-19.55,169.27,81.0,10.18
Kaitangata,68,NZ,2019-02-05,62,-46.28,169.85,55.8,9.73
Smithers,40,CA,2019-02-05,65,54.78,-127.17,5.0,2.57
Sao Joao da Barra,80,BR,2019-02-05,98,-21.64,-41.05,78.97,11.07
Kasangulu,75,CD,2019-02-05,94,-4.59,15.17,73.4,6.93
Atambua,80,ID,2019-02-05,100,-9.11,124.89,78.25,1.79
Ahipara,32,NZ,2019-02-05,67,-35.17,173.16,75.6,11.97
Lorengau,36,PG,2019-02-05,91,-2.02,147.27,85.5,14.2
Nikolskoye,75,RU,2019-02-05,86,59.7,30.79,26.6,6.71
Severo-Kurilsk,68,RU,2019-02-05,100,50.68,156.12,25.56,29.75
